term	def
و	and
هذا,هدا,هادا,هاد,هاظ	this
هذه,هاذي,هادي,هاي	this
هداك,هدلاك,هدولاك	that
هديك	that
هدول	these
هو,هي,هم	he, she, it
هم,هن	they, them
إنت,إنتي	you
إنْتو,إنْتم,إنْتن	you all
أنا	I, me
إحْنا,نَحْنُ	we, us
إلّي,إللي,يلّي	the one, that
لأ	no
آه،نَعَم,أيوَه,أيوا,أيوة	yes
بَس	only, but
كَمان	also, again
رَح	will
عَم	(cont.)
شو,إيش	what
ليش	why
لَمّا	when
مَتَى,إمْتى	when
إلّا	except
ولّا	or
ما	not
مو،مِش	not
كُلّ	all
شوَيّ،شوَيّة	little
لَو	if
يا	O
هيك	thus, such
أو	or
بَل	however
بَلْكي	maybe
مْبلا	(not true)
هَلّا,هَلَّق,إسّا,هَلْقيت	now
إذا,إزا	if
كْتير	very
هَل	(question)
حَتّى,تا	until, even
هون	here
هُناك	there
لَكِن,لاكِن	but
مين	who
مِن	from
عَن	about
مَع،مَعا	with
عَلَى,ع	on, to
في,ف	there is, in, so
إلَى	there is, in, so
إنّ	that
لَإنّ	because
عَشان،عَلْشان	because
مِشان،مِنْشان	for, for the purpose of
بَعْض	some
كيف,إزَيّ	how
وين,فين	where
أيّ	any, which
فوق	above,top
تَحْت	below, under
وَرا	behind
جَنْب	beside
قَبْل	before
بَعْد	after
لِسّا	still, yet
بَلا,بْدون	without
بين	between
غير	except, other than
نَفْس	same as
بينْما	while
عادَةً	usually
دايمًا،دائما	always
لازِم	must
كان،كانَت،كانو،كانوا،كُنْت،كُنْتي،كُنْتو،كُنْتوا،كُنْتن،كُنّا	was/were
يكون،يكونو،يكونوا،تكون،تكونو،تكونوا،كونو،كونوا،أكون،نكون	was/were
بيكون،بيكونو،بيكونوا،بتكون،بتكونو،بتكونوا،كونو،كونوا،بكون،بنكون،منكون	was/were
صار،صارَت،صارو،صاروا،صِرْت،صِرْتي،صِرْتو،صِرتوا،أصير،صِرْنا	to happen
يصير،يصيرو،يصيروا،تصير،تصيرو،تصيروا،أصير،نصير	to happen
بيصير،بيصيرو،بيصيروا،بتصير،بتصيرو،بتصيروا،بصير،بنصير،منصير	to happen
بِدُّه،بِدّو،بِدْها،بِدْهم،بِدْهن،بِدْكو،بِدْكُم،بِدكُن،بِدّي،بِدْنا	to want
عِنْدُه،عِنْدو،عِنْدها،عِنْدهم،عِنْدهن،عِنْدكو،عِنْدكُم،عِنْدكُن،عِنْدي،عِنْدنا،عِنّا	to have
