past	pres	form	def
آخَز	يأَخَز	3	to censure, condemn, blame, resent, be offended
آمَن	يآمَن	3	to believe
آنَس	يآنَس	3	to keep someone company
أَباد	يُبيد	4	to exterminate
أَبرَز	يِبرَز	4	to make prominent, accentuate, emphasize, highlight
أَبرَق	يِبرَق	4	to flash with lightning
أَبسَط	يِبسَط	4	to please, delight, gladden, make happy
أبْطَل	يبْطِل		to cancel, to void, to nullify, to disarm, to neautralize
أَبطَل	يِبطَل	4	to cancel, neutralize, dismantle, disarm
أبْعَد	يبْعَد		to move away, to move out of the way
أَبعَد	يِبعَد	4	to move something away, to banish/deport/expel
أَبَّن	يأَبَّن	2	to eulogise, deliver a funeral oration
أَتَّت	يأَتَّت	2	to furnish
أتّر	يؤَتِّر		to effect, to influence
أَتعَب	يِتعَب	4	to tire, wear out
أَتقَن	يتقن	4	to be proficient, know well, master
أَتلَج	يتلَج	4	to snow
أَثار	يثير	4	to arouse, awaken, raise
أَثبَت	يِثبَت	4	to prove, establish
أَثَّر	يأَثَّر	2	to influence, affect
أَجَّر	يأَجَّر	2	to rent out, rent to someone
أَجرى	يِجري	4	to hold, conduct, carry out
أجّل	يؤَجّل		postpone, delay
أَجَلّ	يجل	4	to honor, esteem
أَجَّل	يأَجَّل	2	to postpone, put off
أَجلى	يِجلي	4	to remove, evacuate (people)
أَحرَج	يحرج	4	to embarrass
أَحرَز	يِحرَز	4	to be worthwhile
أَحصى	يَحصي	4	to count, enumerate
أخَد	ياخُد		to take, to get, to receive
أَخرَج	يِخرَج	4	to take out, bring out, produce, direct
أخطى	يِخطي	4	to be mistaken, to miss (target)
أَخفى	يِخفي	4	to hide, conceal
أَخلى	يِخلي	4	to empty, to evacuate (place, area)
أَدَار	يدير	4	to manage, administer
أَدهَش	يِدهَش	4	to surprise, astonish, astound
أدّى	يؤَدّي إلَى		to lead to
أَدّى	يأَدّي	4	to carry out, perform, lead to, bring about, cause
أَراد	يريد	4	to want
أَرجَع	يِرجَع	4	to give back, put back, return
أرخى	يرخي	1	to lower, drop, relax, loosen, let down, let go
أَرشَد	يِرشَد	4	to guide, instruct, direct
أَرضى	يِرضي	4	to satisfy, please
أَركَن	يِركَن	4	to rely on, trust
أزْعَج	يزْعِج		to bother, to annoy, to bother
أَزعَج	يِزعَج	4	to annoy, disturb, bother
أزْعَل	يزْعِل		to anger, to upset
أَزعَل	يِزعَل	4	to upset, annoy
أَزى	يِئزي	4	to harm, hurt, damage
أَسرَع	يِسرَع	4	to hurry, be in a hurry, to drive quickly, speed
أَسَّس	يأَسَّس	2	to found, establish, set up
أسْقَط	يسْقِط		to cause to fall, to bring down, to shoot down
أَسقَط	يُسقَط	4	to cause to fall, bring down, shoot down
أَسكَر	يِسكَر	4	to intoxicate, make drunk
أسْلَم	يسْلِم		to submit, to surrender, to convert to Islam
أَسلَم	يُسلَم/يأَسلَم	4	to convert to Islam
أَشبَع	يِشبَع	4	to satisfy, gratify (appetite)
أَشتى	يشتي	4	to rain
أشّر	يؤَشِّر		to signal
أَشَّر	يأَشَّر	2	to signal, give a sign
أَشرَك	يِشرَك	4	to include
أَشعَل	يِشعَل	4	to set on fire
أصْبَح	يصْبِح		to awaken in the morning in a particular state, to become, to turn into
أَصبَح	يِصبَح	4	to be in the morning, to become, turn into
أَصدَر	يِصدَر	4	to bring out, issue, publish
أَصَرّ	يصَرّ	4	to insist, persist, stick to, be determined, be set on
أصْلَح	يصْلِح		to reconcile, to make peace between
أَصلَح	يِصلَح	4	to make peace, bring about reconciliation
أَضاف	يضيف	4	to add
أضْرَب	يضْرِب		to go on strike
أَضرَب	يِضرَب	4	to strike, go on strike
أَضعَف	يِضعَف	4	to weaken, undermine
أَطاع	يطيع	4	to obey
أَطلَع	يَطلَع	4	to take up, bring up, take out, bring out
أطلق	يطْلِق		to fire (weapon), to set off, to release, to send away
أَطلَق	يِطلَق	4	to release, set free, send, send away, discharge, set off, let off
أَظهَر	يَظهَر	4	to appear, to reveal/show
أَعاد	يُعيد	4	to return something, give something back
أَعجَب	يعجب	4	to please, satisfy
أَعدَم	يِعدَم	4	to destroy, execute, put to death
أَعدى	يِعدي	4	to be infectious/contagious, to infect
أَعرَب	يَعرَب	4	to parse, to express
أَعطى	يَعطي	4	to give
أَعفى	يِعفي	4	to exempt
أعْلَم	يعْلِن		to announce, to declare, to broadcast, to advertise
أَعلَن	يِعلَن	4	to announce, declare
أَعم	يِعمي	4	to blind, to dazzle
أَغرى	يِغري	4	to tempt, induce, seduce
أَفاد	يفيد	4	to benefit, be useful/beneficial/effective/advantageous, to interest
أَفرَج	يِفرَج	4	to release (from prison, custody, etc)
أَفشَل	يِفشَل	4	to foil, frustrate, thwart
أفِْطَر	يفْطَر		to break fast
أَفطَر	يِفطَر	4	to have breakfast, to break a fast
أفلَس	يِفلَس	4	to go bankrupt
أَقنَع	يِقنَع	4	to convince
أَكَّد	يأَكَّد	2	to assure, promise, confirm
أكْرَم	يكْرِم		to respect, to honor
أَكرَم	يِكرَم	4	to honor, respect, to host, treat hospitably
أَلَحّ	يلَحّ	4	to pressure, urge, implore
أَلغى	يِلغي	4	to cancel, invalidae, abolish
أَلَّف	يأَلَّف	2	to compose, write, draw up
أَلقى	يُلقي	4	to throw, drop, give, deliver (lecture/talk/speech)
أَلهى	يِلهي	4	to distract
أمَر	يؤمُر		to give an order, to command
أَمَر	يؤمُر	4	to order, command
أَملى	يِملي	4	to dictate
أَمَّم	يأَمَّم	2	to nationalize
أَمَّن	أَمَّن	2	to insure, to have confidence, to entrust
أمْهل	يمْهِل		to give some time, to give respite
أَمهَل	يِمهَل	4	to give someone time, grant respite
أَنّ	يأَنّ	1	to groan, moan
أَنجَز	يِنجَز	4	to achieve, accomplish, realize, put into practice, finish off
أنْحِف	يِنْحَف	1	to lower, drop, relax, loosen, let down, let go
أَنطى	يَنطي	4	to give (Galilee)
أنْعَم	ينْعِم		to bestow favor, to bless, to make pleasant
أَنعَم	يِنعَم	4	to confer, bestow, favor, make something pleasant
أَنقَذ	يِنقّذ	4	to save, rescue
أَنكَر	يِنكَر	4	to deny
أَنهى	يِنهي	4	to end, finish, put an end to
أَهان	يهين	4	to insult, offend
أَهدى	يِهدي	4	to dedicate, send, convey
أَهَّل	يأَهَّل	2	to welcome, say ahlan, to train, qualify, rehabilitate, consider suitable
أَهمَل	يِهمَل	4	to neglect
أَيَّد	يأَيَّد	2	to support, be in favor of
إبتَدى	يَبتَدي	8	to begin (unusual)
إبتَسَم	يِبتَسَم	8	to smile
إبيَضّ	يِبيَضّ	9	to become white(r)
إتَّحَد	يِتَّحَد	8	to unite (intrans)
إتَّخَذ/إتَّخَز	يِتَّخَذ	8	to take (incl. stance, decision, steps, measures)
إتَّصَل	يِتّصَل	8	to contact, get in touch, to telephone
إتَّضَح	يِتَّضَح	8	to become clear, become obvious
إتَّفَق	يِتَّفَق	8	to agree, reach an agreement, be in agreement
إتَّكَل	يِتَّكَل	8	to rely on, depend, trust in
إتَّكى	يِتَّكي	8	to lean (on, against)
إتَّهَم	يِتَّهَم	8	to accuse
إجتَرّ	يِجتَرّ	9	to chew, to chew the cud(??)
إجتِمَع	يِجتمَع		to meet (by prior agreement), meet with, to meet assemble, come together (intrans)
إجتَهَد	يِجتَهَد	8	to try hard, make an effort, do one's best
إحتاج	يِحتاج		to need, require
إحتَجّ	يِحتَجّ	9	to protest
إحتَدّ	يِحتَدّ	9	to become more acute
إحتِرَم	يِحتَرَم		to respect, treat with respect, esteem, honor
إحتَفَل	يِحتَفَل	8	to celebrate
إحتَقَر	يِحتَقَر	8	to despise, scorn, feel contempt for
إحتَكّ	يِحتَكّ	9	to rub up against, be in contact with
إحتَكَر	يِحتَكَر	8	to monopolize, gain exclusive control of, corner
إحتَلّ	يِحتَلّ	9	to occupy (military)
إحتَوى	يِحتوي	8	to comprise off, consist of, be made up of
إحمَرّ	يِحمَرّ	9	to blush, flush, turn red, redden
إختار	يِختار		to choose (usually abstract)
إختَرَع	يِختَرَع	8	to invent
إختَطَف	يَختَطَف	8	to take by force, to kidnap, abduct, hijack
إختَفى	يِختَفي	8	to disappear, vanish
إختَلّ	يِختَلّ	9	to become defective, develop a fault
إختَلَس	يِختَلَس	8	to embezzle, to steal
إختَلَط	يَختَلَط	8	to be mixed
إختَلَف	يِختَلَف	8	to differ, be different, to disagree
إختَنَق	يِختَنَق	8	to suffocate, be suffocated, to choke
إدَّعى	يِدَّعي		to allege, claim, accuse
إرتاح	يِرتاح		to rest
إرتَبَك	يِرتبَك	8	to become confused, get mixed up, get muddled, be embarrassed
إرتَخى	يِرتَخي	8	to relax (intrans)
إرتَدّ	يِرتَدّ	9	to withdraw, to become an apostate, renounce one's faith, lapse
إرتَسَم	يِرتَسَم	8	to be ordained (eg priest)
إرتَفَع	يِرتفَع	8	to rise, go up, ascend
إرتَكَب	يِرتَكَب	8	to commit, perpetrate
إرتَوى	يِرتوي	8	to quench one's thirst, to become saturated
إزدَهَر	يِزدَهَر		to flourish, bloom, prosper, thrive
إستأَجَر	يِستأَجَر	10	to hire, rent
إستأَصَل	يِستأَصَل	10	to uproot, annihilate, to remove (by surgery)
إستأَنَف	يِستأَنَف	10	to resume, recommence, appeal (legal)
إستاهَل	يِستاهَل	10	to deserve, warrant
إستَحسَن	يِستَحسَن	10	to approve of, consider appropriate
إستَحضَر	يِستَحضَر	10	to summon, conjure, invoke, call up (ask for the presence of)
إستَحَقّ	يِستحَقّ	10	to deserve, be worthy of
إستَحلى	يِستَحلي	10	to like, to find sweet/nice/beautiful
إستَحى	يِستحي	10	to be embarrased, be shy, be ashamed, be timid
إستَخدَم	يِستَخدَم	10	to use, make use of
إستَخرَج	يِستَخرَج	10	to extract, mine
إستَخَفّ	يِستخَفّ	10	to undervalue, underestimate, make light of, despise
إستَراح	يِستريح	10	to rest, sit down and rest
إستَرجَع	يِستَرجَع	10	to regain, take back, recover, ask for the return of
إستَرجى	يِستَرجي	10	to dare, have the courage to
إسترَيَّح	يِسترَيَّح	10	to rest, sit down to rest
إستَسلَم	يِستَسلَم	10	to submit, surrender, give up
إستَشار	يِستَشير	10	to consult, ask for advice
إستَشهَد	يِستَشهَد	10	to quote, to give one's life, die a martyr
إستَصعَب	يِستَصعَب	10	to find difficult, to have difficulty
إستَضاف	يَستَضيف	10	to invite, host as a guest
إستَطاع	يَستَطيع	10	to be able, be capable
