term	def
آب	August
أب	father
إباحة	permissiveness, lack of restraint
إباحي	permissive, uninhibited
إبادة	extermination
أَباط	armpit
إبتِداء	beginning
إبتِدائي	initial, primary
إبتِزاز	blackmail
إبتِسام	smiling (n.), woman's name
إبتِسامة	a smile
أَبجَدي	alphabetical
أَبجَدِيّة	alphabet
أَبَد	eternity
أَبَداً	never, not at all, absolutely not
إبداع	creating, creation, creativity(?)
إبرة،أُبَر	needle, injection, jab, shot
أَبرَد	colder, coldest
أَبرَز	more/most protruding, prominent, obvious
أَبرَشِيّة	diocese
أَبرَص،بَرصاء،بُرص	leper, albino
أَبرَك	more blessed
أَبسَط	most simple, small, insignificant, small quantity
أَبصَر	more/most seeing/knowing/understanding
أبْصَر	God knows
أَبعاب	fees
إبعاد	banishment, deportation, expulsion
أَبكَم،بَكماء،بُكُم	dumb, unable to speak
إبن،أَبنا	son
اِبِن،وْلاد\أولاد	son
أُبَّهة	magnificence, splendour, magnificent, splendid, impressive
أُبُوّة	fatherliness
أَبيَس	more/most dry
أبْيَض،بيضا،بيض	white
أَتات/أَثاث	furniture
إتِّجاه	direction
إتِّحاد	unity, union
أَتخَم	more/most thick (esp. elongated tubular objects)
إتِّصال	link, connection, contact, phone call
إتِّفاق	agreement
إتِّفاقِيّة	contract, acreement
أَتقَل	more/most heavy
إتِّكال	trust, reliance, confidence
إتِّكالي	dependent, relying on others
أُتُماتيكي	automatic
أَتمَن	more/most valuable, precious
إثبات	proof, evidence
أَثبَت	more/most fixed, firm, steady, permanent, stable
أَثَر،أَتَر،آثار،آتار	track, sign, trace
أَثَري	archaeological
أَجار	fee, rent, wages
إجازة	permit, holiday, leave, time off
إجباري	compulsory, obligatory
إجتِماع	meeting, society (sometimes)
إجتِماعي	social, sociable, friendly
إجر،إجرَين	foot, leg
إجْر،إجْرتَين،إِجرَيْن	leg
إجراء	holding, construction, carrying out
أُجرة،أُجور	salary, wages, rent, rental
أَجرودي	beardless, smooth-cheeked
إجرَين	two legs/feet
آجِلاً	delayed, lingering
إجلاء	evacuation
